Squarefree monomial ideals in 5 variables up to relabeling
Total representatives: 210

1: ()   (0)
2: ((),)   (1)
3: ((1,),)   (x1)
4: ((1, 2),)   (x1*x2)
5: ((1, 2, 3),)   (x1*x2*x3)
6: ((1, 2, 3, 4),)   (x1*x2*x3*x4)
7: ((1, 2, 3, 4, 5),)   (x1*x2*x3*x4*x5)
8: ((1,), (2,))   (x1, x2)
9: ((1,), (2, 3))   (x1, x2*x3)
10: ((1,), (2, 3, 4))   (x1, x2*x3*x4)
11: ((1,), (2, 3, 4, 5))   (x1, x2*x3*x4*x5)
12: ((1, 2), (1, 3))   (x1*x2, x1*x3)
13: ((1, 2), (3, 4))   (x1*x2, x3*x4)
14: ((1, 2), (1, 3, 4))   (x1*x2, x1*x3*x4)
15: ((1, 2), (3, 4, 5))   (x1*x2, x3*x4*x5)
16: ((1, 2), (1, 3, 4, 5))   (x1*x2, x1*x3*x4*x5)
17: ((1, 2, 3), (1, 2, 4))   (x1*x2*x3, x1*x2*x4)
18: ((1, 2, 3), (1, 4, 5))   (x1*x2*x3, x1*x4*x5)
19: ((1, 2, 3), (1, 2, 4, 5))   (x1*x2*x3, x1*x2*x4*x5)
20: ((1, 2, 3, 4), (1, 2, 3, 5))   (x1*x2*x3*x4, x1*x2*x3*x5)
21: ((1,), (2,), (3,))   (x1, x2, x3)
22: ((1,), (2,), (3, 4))   (x1, x2, x3*x4)
23: ((1,), (2,), (3, 4, 5))   (x1, x2, x3*x4*x5)
24: ((1,), (2, 3), (2, 4))   (x1, x2*x3, x2*x4)
25: ((1,), (2, 3), (4, 5))   (x1, x2*x3, x4*x5)
26: ((1,), (2, 3), (2, 4, 5))   (x1, x2*x3, x2*x4*x5)
27: ((1,), (2, 3, 4), (2, 3, 5))   (x1, x2*x3*x4, x2*x3*x5)
28: ((1, 2), (1, 3), (2, 3))   (x1*x2, x1*x3, x2*x3)
29: ((1, 2), (1, 3), (1, 4))   (x1*x2, x1*x3, x1*x4)
30: ((1, 2), (1, 3), (2, 4))   (x1*x2, x1*x3, x2*x4)
31: ((1, 2), (1, 3), (2, 3, 4))   (x1*x2, x1*x3, x2*x3*x4)
32: ((1, 2), (1, 3), (4, 5))   (x1*x2, x1*x3, x4*x5)
33: ((1, 2), (1, 3), (1, 4, 5))   (x1*x2, x1*x3, x1*x4*x5)
34: ((1, 2), (1, 3), (2, 4, 5))   (x1*x2, x1*x3, x2*x4*x5)
35: ((1, 2), (1, 3), (2, 3, 4, 5))   (x1*x2, x1*x3, x2*x3*x4*x5)
36: ((1, 2), (3, 4), (1, 3, 5))   (x1*x2, x3*x4, x1*x3*x5)
37: ((1, 2), (1, 3, 4), (2, 3, 4))   (x1*x2, x1*x3*x4, x2*x3*x4)
38: ((1, 2), (1, 3, 4), (1, 3, 5))   (x1*x2, x1*x3*x4, x1*x3*x5)
39: ((1, 2), (1, 3, 4), (2, 3, 5))   (x1*x2, x1*x3*x4, x2*x3*x5)
40: ((1, 2), (1, 3, 4), (3, 4, 5))   (x1*x2, x1*x3*x4, x3*x4*x5)
41: ((1, 2), (1, 3, 4), (2, 3, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x4*x5)
42: ((1, 2), (1, 3, 4, 5), (2, 3, 4, 5))   (x1*x2, x1*x3*x4*x5, x2*x3*x4*x5)
43: ((1, 2, 3), (1, 2, 4), (1, 3, 4))   (x1*x2*x3, x1*x2*x4, x1*x3*x4)
44: ((1, 2, 3), (1, 2, 4), (1, 2, 5))   (x1*x2*x3, x1*x2*x4, x1*x2*x5)
45: ((1, 2, 3), (1, 2, 4), (1, 3, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x5)
46: ((1, 2, 3), (1, 2, 4), (3, 4, 5))   (x1*x2*x3, x1*x2*x4, x3*x4*x5)
47: ((1, 2, 3), (1, 2, 4), (1, 3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4*x5)
48: ((1, 2, 3), (1, 4, 5), (2, 3, 4, 5))   (x1*x2*x3, x1*x4*x5, x2*x3*x4*x5)
49: ((1, 2, 3), (1, 2, 4, 5), (1, 3, 4, 5))   (x1*x2*x3, x1*x2*x4*x5, x1*x3*x4*x5)
50: ((1, 2, 3, 4), (1, 2, 3, 5), (1, 2, 4, 5))   (x1*x2*x3*x4, x1*x2*x3*x5, x1*x2*x4*x5)
