original_index,table_type,ideal,betti_dictionary,total_betti_vector,pd,reg
3,1,(x1),"{(0, 0): 1, (1, 1): 1}","(1, 1)",1,0
4,2,(x1*x2),"{(0, 0): 1, (1, 2): 1}","(1, 1)",1,1
5,3,(x1*x2*x3),"{(0, 0): 1, (1, 3): 1}","(1, 1)",1,2
6,4,(x1*x2*x3*x4),"{(0, 0): 1, (1, 4): 1}","(1, 1)",1,3
7,5,(x1*x2*x3*x4*x5),"{(0, 0): 1, (1, 5): 1}","(1, 1)",1,4
8,6,"(x1, x2)","{(0, 0): 1, (1, 1): 2, (2, 2): 1}","(1, 2, 1)",2,0
9,7,"(x1, x2*x3)","{(0, 0): 1, (1, 1): 1, (1, 2): 1, (2, 3): 1}","(1, 2, 1)",2,1
10,8,"(x1, x2*x3*x4)","{(0, 0): 1, (1, 1): 1, (1, 3): 1, (2, 4): 1}","(1, 2, 1)",2,2
11,9,"(x1, x2*x3*x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 4): 1, (2, 5): 1}","(1, 2, 1)",2,3
12,10,"(x1*x2, x1*x3)","{(0, 0): 1, (1, 2): 2, (2, 3): 1}","(1, 2, 1)",2,1
13,11,"(x1*x2, x3*x4)","{(0, 0): 1, (1, 2): 2, (2, 4): 1}","(1, 2, 1)",2,2
14,12,"(x1*x2, x1*x3*x4)","{(0, 0): 1, (1, 2): 1, (1, 3): 1, (2, 4): 1}","(1, 2, 1)",2,2
15,13,"(x1*x2, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 1, (2, 5): 1}","(1, 2, 1)",2,3
16,14,"(x1*x2, x1*x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 4): 1, (2, 5): 1}","(1, 2, 1)",2,3
17,15,"(x1*x2*x3, x1*x2*x4)","{(0, 0): 1, (1, 3): 2, (2, 4): 1}","(1, 2, 1)",2,2
18,16,"(x1*x2*x3, x1*x4*x5)","{(0, 0): 1, (1, 3): 2, (2, 5): 1}","(1, 2, 1)",2,3
19,17,"(x1*x2*x3, x1*x2*x4*x5)","{(0, 0): 1, (1, 3): 1, (1, 4): 1, (2, 5): 1}","(1, 2, 1)",2,3
20,18,"(x1*x2*x3*x4, x1*x2*x3*x5)","{(0, 0): 1, (1, 4): 2, (2, 5): 1}","(1, 2, 1)",2,3
21,19,"(x1, x2, x3)","{(0, 0): 1, (1, 1): 3, (2, 2): 3, (3, 3): 1}","(1, 3, 3, 1)",3,0
22,20,"(x1, x2, x3*x4)","{(0, 0): 1, (1, 1): 2, (1, 2): 1, (2, 2): 1, (2, 3): 2, (3, 4): 1}","(1, 3, 3, 1)",3,1
23,21,"(x1, x2, x3*x4*x5)","{(0, 0): 1, (1, 1): 2, (1, 3): 1, (2, 2): 1, (2, 4): 2, (3, 5): 1}","(1, 3, 3, 1)",3,2
24,22,"(x1, x2*x3, x2*x4)","{(0, 0): 1, (1, 1): 1, (1, 2): 2, (2, 3): 3, (3, 4): 1}","(1, 3, 3, 1)",3,1
25,23,"(x1, x2*x3, x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 2, (2, 3): 2, (2, 4): 1, (3, 5): 1}","(1, 3, 3, 1)",3,2
26,24,"(x1, x2*x3, x2*x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (2, 3): 1, (2, 4): 2, (3, 5): 1}","(1, 3, 3, 1)",3,2
27,25,"(x1, x2*x3*x4, x2*x3*x5)","{(0, 0): 1, (1, 1): 1, (1, 3): 2, (2, 4): 3, (3, 5): 1}","(1, 3, 3, 1)",3,2
28,26,"(x1*x2, x1*x3, x2*x3)","{(0, 0): 1, (1, 2): 3, (2, 3): 2}","(1, 3, 2)",2,1
29,27,"(x1*x2, x1*x3, x1*x4)","{(0, 0): 1, (1, 2): 3, (2, 3): 3, (3, 4): 1}","(1, 3, 3, 1)",3,1
30,26,"(x1*x2, x1*x3, x2*x4)","{(0, 0): 1, (1, 2): 3, (2, 3): 2}","(1, 3, 2)",2,1
31,28,"(x1*x2, x1*x3, x2*x3*x4)","{(0, 0): 1, (1, 2): 2, (1, 3): 1, (2, 3): 1, (2, 4): 1}","(1, 3, 2)",2,2
32,29,"(x1*x2, x1*x3, x4*x5)","{(0, 0): 1, (1, 2): 3, (2, 3): 1, (2, 4): 2, (3, 5): 1}","(1, 3, 3, 1)",3,2
33,30,"(x1*x2, x1*x3, x1*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 1, (2, 3): 1, (2, 4): 2, (3, 5): 1}","(1, 3, 3, 1)",3,2
34,28,"(x1*x2, x1*x3, x2*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 1, (2, 3): 1, (2, 4): 1}","(1, 3, 2)",2,2
35,31,"(x1*x2, x1*x3, x2*x3*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 4): 1, (2, 3): 1, (2, 5): 1}","(1, 3, 2)",2,3
36,32,"(x1*x2, x3*x4, x1*x3*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 1, (2, 4): 3, (3, 5): 1}","(1, 3, 3, 1)",3,2
37,33,"(x1*x2, x1*x3*x4, x2*x3*x4)","{(0, 0): 1, (1, 2): 1, (1, 3): 2, (2, 4): 2}","(1, 3, 2)",2,2
38,34,"(x1*x2, x1*x3*x4, x1*x3*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 2, (2, 4): 3, (3, 5): 1}","(1, 3, 3, 1)",3,2
39,33,"(x1*x2, x1*x3*x4, x2*x3*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 2, (2, 4): 2}","(1, 3, 2)",2,2
40,33,"(x1*x2, x1*x3*x4, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 2, (2, 4): 2}","(1, 3, 2)",2,2
41,35,"(x1*x2, x1*x3*x4, x2*x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 4): 1, (2, 5): 1}","(1, 3, 2)",2,3
42,36,"(x1*x2, x1*x3*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 4): 2, (2, 5): 2}","(1, 3, 2)",2,3
43,37,"(x1*x2*x3, x1*x2*x4, x1*x3*x4)","{(0, 0): 1, (1, 3): 3, (2, 4): 2}","(1, 3, 2)",2,2
44,38,"(x1*x2*x3, x1*x2*x4, x1*x2*x5)","{(0, 0): 1, (1, 3): 3, (2, 4): 3, (3, 5): 1}","(1, 3, 3, 1)",3,2
45,37,"(x1*x2*x3, x1*x2*x4, x1*x3*x5)","{(0, 0): 1, (1, 3): 3, (2, 4): 2}","(1, 3, 2)",2,2
46,39,"(x1*x2*x3, x1*x2*x4, x3*x4*x5)","{(0, 0): 1, (1, 3): 3, (2, 4): 1, (2, 5): 1}","(1, 3, 2)",2,3
47,40,"(x1*x2*x3, x1*x2*x4, x1*x3*x4*x5)","{(0, 0): 1, (1, 3): 2, (1, 4): 1, (2, 4): 1, (2, 5): 1}","(1, 3, 2)",2,3
48,41,"(x1*x2*x3, x1*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 2, (1, 4): 1, (2, 5): 2}","(1, 3, 2)",2,3
49,42,"(x1*x2*x3, x1*x2*x4*x5, x1*x3*x4*x5)","{(0, 0): 1, (1, 3): 1, (1, 4): 2, (2, 5): 2}","(1, 3, 2)",2,3
50,43,"(x1*x2*x3*x4, x1*x2*x3*x5, x1*x2*x4*x5)","{(0, 0): 1, (1, 4): 3, (2, 5): 2}","(1, 3, 2)",2,3
51,44,"(x1, x2, x3, x4)","{(0, 0): 1, (1, 1): 4, (2, 2): 6, (3, 3): 4, (4, 4): 1}","(1, 4, 6, 4, 1)",4,0
52,45,"(x1, x2, x3, x4*x5)","{(0, 0): 1, (1, 1): 3, (1, 2): 1, (2, 2): 3, (2, 3): 3, (3, 3): 1, (3, 4): 3, (4, 5): 1}","(1, 4, 6, 4, 1)",4,1
53,46,"(x1, x2, x3*x4, x3*x5)","{(0, 0): 1, (1, 1): 2, (1, 2): 2, (2, 2): 1, (2, 3): 5, (3, 4): 4, (4, 5): 1}","(1, 4, 6, 4, 1)",4,1
54,47,"(x1, x2*x3, x2*x4, x3*x4)","{(0, 0): 1, (1, 1): 1, (1, 2): 3, (2, 3): 5, (3, 4): 2}","(1, 4, 5, 2)",3,1
55,48,"(x1, x2*x3, x2*x4, x2*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 3, (2, 3): 6, (3, 4): 4, (4, 5): 1}","(1, 4, 6, 4, 1)",4,1
56,47,"(x1, x2*x3, x2*x4, x3*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 3, (2, 3): 5, (3, 4): 2}","(1, 4, 5, 2)",3,1
57,49,"(x1, x2*x3, x2*x4, x3*x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 2, (1, 3): 1, (2, 3): 3, (2, 4): 2, (3, 4): 1, (3, 5): 1}","(1, 4, 5, 2)",3,2
58,50,"(x1, x2*x3, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 2, (2, 3): 1, (2, 4): 4, (3, 5): 2}","(1, 4, 5, 2)",3,2
59,51,"(x1, x2*x3*x4, x2*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 3): 3, (2, 4): 5, (3, 5): 2}","(1, 4, 5, 2)",3,2
60,52,"(x1*x2, x1*x3, x2*x3, x1*x4)","{(0, 0): 1, (1, 2): 4, (2, 3): 4, (3, 4): 1}","(1, 4, 4, 1)",3,1
61,53,"(x1*x2, x1*x3, x2*x3, x4*x5)","{(0, 0): 1, (1, 2): 4, (2, 3): 2, (2, 4): 3, (3, 5): 2}","(1, 4, 5, 2)",3,2
62,54,"(x1*x2, x1*x3, x2*x3, x1*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 1, (2, 3): 2, (2, 4): 2, (3, 5): 1}","(1, 4, 4, 1)",3,2
63,55,"(x1*x2, x1*x3, x1*x4, x2*x3*x4)","{(0, 0): 1, (1, 2): 3, (1, 3): 1, (2, 3): 3, (2, 4): 1, (3, 4): 1}","(1, 4, 4, 1)",3,2
64,56,"(x1*x2, x1*x3, x1*x4, x1*x5)","{(0, 0): 1, (1, 2): 4, (2, 3): 6, (3, 4): 4, (4, 5): 1}","(1, 4, 6, 4, 1)",4,1
65,52,"(x1*x2, x1*x3, x1*x4, x2*x5)","{(0, 0): 1, (1, 2): 4, (2, 3): 4, (3, 4): 1}","(1, 4, 4, 1)",3,1
66,55,"(x1*x2, x1*x3, x1*x4, x2*x3*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 1, (2, 3): 3, (2, 4): 1, (3, 4): 1}","(1, 4, 4, 1)",3,2
67,57,"(x1*x2, x1*x3, x1*x4, x2*x3*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 4): 1, (2, 3): 3, (2, 5): 1, (3, 4): 1}","(1, 4, 4, 1)",3,3
68,52,"(x1*x2, x1*x3, x2*x4, x3*x4)","{(0, 0): 1, (1, 2): 4, (2, 3): 4, (3, 4): 1}","(1, 4, 4, 1)",3,1
69,58,"(x1*x2, x1*x3, x2*x4, x3*x5)","{(0, 0): 1, (1, 2): 4, (2, 3): 3, (2, 4): 1, (3, 5): 1}","(1, 4, 4, 1)",3,2
70,54,"(x1*x2, x1*x3, x2*x4, x2*x3*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 1, (2, 3): 2, (2, 4): 2, (3, 5): 1}","(1, 4, 4, 1)",3,2
71,54,"(x1*x2, x1*x3, x2*x4, x3*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 1, (2, 3): 2, (2, 4): 2, (3, 5): 1}","(1, 4, 4, 1)",3,2
72,59,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 2, (2, 3): 1, (2, 4): 3, (3, 5): 1}","(1, 4, 4, 1)",3,2
73,60,"(x1*x2, x1*x3, x2*x3*x4, x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 1, (2, 3): 1, (2, 4): 4, (3, 5): 2}","(1, 4, 5, 2)",3,2
74,59,"(x1*x2, x1*x3, x2*x3*x4, x1*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 2, (2, 3): 1, (2, 4): 3, (3, 5): 1}","(1, 4, 4, 1)",3,2
