table_type,count,original_indices,example_index,example_ideal,betti_dictionary,total_betti_vector,pd,reg
1,1,[3],3,(x1),"{(0, 0): 1, (1, 1): 1}","(1, 1)",1,0
2,1,[4],4,(x1*x2),"{(0, 0): 1, (1, 2): 1}","(1, 1)",1,1
3,1,[5],5,(x1*x2*x3),"{(0, 0): 1, (1, 3): 1}","(1, 1)",1,2
4,1,[6],6,(x1*x2*x3*x4),"{(0, 0): 1, (1, 4): 1}","(1, 1)",1,3
5,1,[7],7,(x1*x2*x3*x4*x5),"{(0, 0): 1, (1, 5): 1}","(1, 1)",1,4
6,1,[8],8,"(x1, x2)","{(0, 0): 1, (1, 1): 2, (2, 2): 1}","(1, 2, 1)",2,0
7,1,[9],9,"(x1, x2*x3)","{(0, 0): 1, (1, 1): 1, (1, 2): 1, (2, 3): 1}","(1, 2, 1)",2,1
8,1,[10],10,"(x1, x2*x3*x4)","{(0, 0): 1, (1, 1): 1, (1, 3): 1, (2, 4): 1}","(1, 2, 1)",2,2
9,1,[11],11,"(x1, x2*x3*x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 4): 1, (2, 5): 1}","(1, 2, 1)",2,3
10,1,[12],12,"(x1*x2, x1*x3)","{(0, 0): 1, (1, 2): 2, (2, 3): 1}","(1, 2, 1)",2,1
11,1,[13],13,"(x1*x2, x3*x4)","{(0, 0): 1, (1, 2): 2, (2, 4): 1}","(1, 2, 1)",2,2
12,1,[14],14,"(x1*x2, x1*x3*x4)","{(0, 0): 1, (1, 2): 1, (1, 3): 1, (2, 4): 1}","(1, 2, 1)",2,2
13,1,[15],15,"(x1*x2, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 1, (2, 5): 1}","(1, 2, 1)",2,3
14,1,[16],16,"(x1*x2, x1*x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 4): 1, (2, 5): 1}","(1, 2, 1)",2,3
15,1,[17],17,"(x1*x2*x3, x1*x2*x4)","{(0, 0): 1, (1, 3): 2, (2, 4): 1}","(1, 2, 1)",2,2
16,1,[18],18,"(x1*x2*x3, x1*x4*x5)","{(0, 0): 1, (1, 3): 2, (2, 5): 1}","(1, 2, 1)",2,3
17,1,[19],19,"(x1*x2*x3, x1*x2*x4*x5)","{(0, 0): 1, (1, 3): 1, (1, 4): 1, (2, 5): 1}","(1, 2, 1)",2,3
18,1,[20],20,"(x1*x2*x3*x4, x1*x2*x3*x5)","{(0, 0): 1, (1, 4): 2, (2, 5): 1}","(1, 2, 1)",2,3
19,1,[21],21,"(x1, x2, x3)","{(0, 0): 1, (1, 1): 3, (2, 2): 3, (3, 3): 1}","(1, 3, 3, 1)",3,0
20,1,[22],22,"(x1, x2, x3*x4)","{(0, 0): 1, (1, 1): 2, (1, 2): 1, (2, 2): 1, (2, 3): 2, (3, 4): 1}","(1, 3, 3, 1)",3,1
21,1,[23],23,"(x1, x2, x3*x4*x5)","{(0, 0): 1, (1, 1): 2, (1, 3): 1, (2, 2): 1, (2, 4): 2, (3, 5): 1}","(1, 3, 3, 1)",3,2
22,1,[24],24,"(x1, x2*x3, x2*x4)","{(0, 0): 1, (1, 1): 1, (1, 2): 2, (2, 3): 3, (3, 4): 1}","(1, 3, 3, 1)",3,1
23,1,[25],25,"(x1, x2*x3, x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 2, (2, 3): 2, (2, 4): 1, (3, 5): 1}","(1, 3, 3, 1)",3,2
24,1,[26],26,"(x1, x2*x3, x2*x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (2, 3): 1, (2, 4): 2, (3, 5): 1}","(1, 3, 3, 1)",3,2
25,1,[27],27,"(x1, x2*x3*x4, x2*x3*x5)","{(0, 0): 1, (1, 1): 1, (1, 3): 2, (2, 4): 3, (3, 5): 1}","(1, 3, 3, 1)",3,2
26,2,"[28, 30]",28,"(x1*x2, x1*x3, x2*x3)","{(0, 0): 1, (1, 2): 3, (2, 3): 2}","(1, 3, 2)",2,1
27,1,[29],29,"(x1*x2, x1*x3, x1*x4)","{(0, 0): 1, (1, 2): 3, (2, 3): 3, (3, 4): 1}","(1, 3, 3, 1)",3,1
